TABLE_NAME,INCLUDES_TAXYR
AASYSJUR,FALSE
ADDN,TRUE
ADDRINDX,TRUE
APRVAL,TRUE
ASMT_ALL,TRUE
ASMT_HIST,TRUE
CNAME,FALSE
COMDAT,TRUE
COMFEAT,TRUE
COMINTEXT,TRUE
COMNT,FALSE
COMNT3,TRUE
CVLEG,TRUE
CVOWN,TRUE
CVTRAN,TRUE
DEDIT,FALSE
DWELDAT,TRUE
EXADMN,TRUE
EXCODE,TRUE
EXDET,TRUE
HTAGNT,FALSE
HTDATES,TRUE
HTPAR,TRUE
LAND,TRUE
LEGDAT,TRUE
LPMOD,FALSE
LPNBHD,FALSE
OBY,TRUE
OWNDAT,TRUE
PARDAT,TRUE
RCOBY,FALSE
SALES,FALSE
SPLCOM,TRUE
VALCLASS,TRUE
